"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I575","Nude woman 12","3","Pixabay","5.48275862068965","1.31444577487998","58","4.83720930232558","1.32611556916","43","5.87755102040816","1.42350291331549","49","4.05660377358491","1.70310908385927","53"
"I576","Nude woman 13","3","Pixabay","5.94736842105263","1.36827645274185","57","4.56862745098039","1.40363673307283","51","5.63265306122449","1.0546302185881","49","4.92727272727273","1.81408629643385","55"
"I577","Nude woman 14","3","Pixabay","5.75555555555556","1.17077199774639","45","4.58928571428571","1.26169850474791","56","5.83673469387755","1.08679457533592","49","4.11538461538461","1.83275049010343","52"
"I578","Nude woman 15","3","Wikipedia","6.04444444444444","1.06505560152672","45","4.67857142857143","1.47841614091374","56","6.24489795918367","1.18199358861942","49","4.55769230769231","1.93434856581158","52"
"I579","Nude woman 16","3","Flickr/++","5.33333333333333","1.62934401056435","57","3.98039215686275","1.46273984123536","51","5.69387755102041","1.21113035412951","49","5.23636363636364","1.57484433520735","55"
"I580","Nude woman 17","3","Wikipedia","5.85964912280702","1.55194114039745","57","4.31372549019608","1.47634949897958","51","5.42857142857143","1.35400640077266","49","5.01818181818182","1.62720971230246","55"
"I581","Nude woman 18","3","Wikipedia","5.82456140350877","1.54830329967013","57","4.05882352941176","1.39157126595633","51","5.77551020408163","1.14136807754351","49","5.07272727272727","1.63134283989585","55"
"I582","Nude woman 19","3","Wikipedia","5.88888888888889","1.11237302078652","45","4.16071428571429","1.49880905102304","56","6.14285714285714","1.09924216318941","49","4.82692307692308","1.74582026168895","52"
"I583","Nude woman 20","3","Wikipedia","6.29545454545455","1.04724545565854","44","3.82758620689655","1.86508013124015","58","5.91489361702128","1.47190777171555","47","4.42307692307692","1.85076723726022","52"
"I584","Nude woman 21","3","Flickr/Christian Hernandez","5.33333333333333","1.38169855941551","45","4.32142857142857","1.30881129769994","56","5.53061224489796","1.37085801623665","49","4.05769230769231","1.67347778696614","52"
"I585","Nude woman 22","3","Flickr/Jenna Jameson","5.66666666666667","1.60727512683216","57","3.72549019607843","1.60098009197553","51","5.28571428571429","1.48604620834392","49","4.6","2.00554786086551","55"
"I586","Office supplies 1","2","Pixabay","3.94736842105263","0.397359707119513","57","4.13725490196078","0.448089626888963","51","1.87755102040816","1.31707777961327","49","1.89090909090909","1.24235033039572","55"
"I587","Office supplies 2","2","Pixabay","4.17241379310345","0.596420051979227","58","3.97674418604651","0.344229442656469","43","2","1.3228756555323","49","1.71698113207547","1.19899570940668","53"
"I588","Office supplies 3","2","Pixabay","4.24137931034483","0.844182254113956","58","4.23255813953488","0.648706012448576","43","2.6734693877551","1.5862397241858","49","2.79245283018868","1.63328939644507","53"
"I589","Office supplies 4","2","Pixabay","4.20689655172414","0.642326382840658","58","4.37209302325581","0.845809159324836","43","2.30612244897959","1.4318414954272","49","2.01923076923077","1.37897922769244","52"
"I590","Office supplies 5","2","Pixabay","4.07017543859649","0.677696969859976","57","4.03921568627451","0.598691383392996","51","1.89795918367347","1.26235391826777","49","1.83636363636364","1.33004645370888","55"
"I591","Opossum 1","1","Pixabay","3.44444444444444","1.30654915983698","45","3.16071428571429","1.26169850474791","56","4","1.70782512765993","49","4.13461538461539","1.87897391850588","52"
"I592","Orangutan 1","1","Pixabay","4.86363636363636","0.851562424234339","44","5","1.4142135623731","58","3.21276595744681","1.57336761801704","47","3.96153846153846","1.70307148666396","52"
"I593","Ornament 1","2","Pixabay","4.82222222222222","0.936358732947836","45","5.58928571428571","1.09173399547835","56","2.87755102040816","1.56301862141318","49","2.88461538461538","1.71102361466894","52"
"I594","Paintbrush 1","2","Pixabay","4.03508771929825","0.981342234622374","57","4.09803921568627","0.755113288474897","51","2.08163265306122","1.36682013407455","49","2.12727272727273","1.40177857202312","55"
"I595","Paper 1","2","Pixabay","4.12068965517241","0.46178852176995","58","4.2093023255814","0.514464100968123","43","1.93877551020408","1.49175739852512","49","1.81132075471698","1.38753522164006","53"
